代码,名称,时间,每股收益,每股净资产,净资产收益率,资产负债率,流动比率,总资产周转率,yield
601099.SH,太平洋,2019/9/30,0.059,1.5,3.9,68.4,0,0.0371,10.81871345
601100.SH,恒立液压,2019/9/30,1.04,5.89,18.8,35,2.6,0.501,29.22077922
601101.SH,昊华能源,2019/9/30,0.5,7.1,7.44,43,1.22,0.199,-10.11029412
601106.SH,中国一重,2019/9/30,0.0076,1.6,0.473,68.5,1.31,0.25,-0.34246575
601107.SH,四川成渝,2019/9/30,0.365,5.01,7.5,56.8,1.72,0.127,11.96808511
601108.SH,财通证券,2019/9/30,0.27,5.56,4.96,66.7,0,0.0553,13.85542172
601111.SH,中国国航,2019/9/30,0.49,6.46,7.23,64.8,0.327,0.387,21.125
601113.SH,ST华鼎,2019/9/30,0.22,5.28,4.42,33.8,2.03,0.625,-28.75
601116.SH,三江购物,2019/9/30,0.25,5.74,4.37,30.1,2.43,0.688,-7.18907261
601117.SH,中国化学,2019/9/30,0.5,6.42,7.25,66,1.3,0.613,11.03448276
601118.SH,海南橡胶,2019/9/30,0.0215,2.27,0.945,36.9,1.26,0.585,9.57683743
601126.SH,四方股份,2019/9/30,0.148,4.73,3.02,28.9,2.78,0.405,-2.46478872
601127.SH,小康股份,2019/9/30,-0.45,5.25,-8.1,71.6,0.888,0.428,-10.93750005
601128.SH,常熟银行,2019/9/30,0.54,5.91,9.44,90.4,0,0.0277,23.27469555
601137.SH,博威合金,2019/9/30,0.48,5.34,8.85,48.3,1.44,0.789,2.36363641
601138.SH,工业富联,2019/9/30,0.52,4.06,13.3,60.5,1.58,1.38,26.87500002
601139.SH,深圳燃气,2019/9/30,0.32,3.85,9.06,47,0.754,0.481,21.58385093
601155.SH,新城控股,2019/9/30,1.67,13,12.3,88,1.08,0.0755,36.43410852
601158.SH,重庆水务,2019/9/30,0.3,3.07,9.98,31.6,1.32,0.197,0
601162.SH,天风证券,2019/9/30,0.037,2.33,1.59,69.5,0,0.0438,-14.31897555
601163.SH,三角轮胎,2019/9/30,0.77,12.3,6.44,35.2,1.93,0.397,14.6926537
601166.SH,兴业银行,2019/9/30,2.57,22.9,11,92.3,0,0.02,12.94922986
601168.SH,西部矿业,2019/9/30,0.34,4.1,8.75,68.2,1.06,0.533,19.49458483
601169.SH,北京银行,2019/9/30,0.83,8.78,9.13,92.3,0,0.0183,5.97014925
601177.SH,杭齿前进,2019/9/30,0.0351,4.11,0.856,53.1,0.894,0.318,-5.35353536
601179.SH,中国西电,2019/9/30,0.06,3.85,1.48,42.1,2.01,0.276,6.43274854
601186.SH,中国铁建,2019/9/30,1.04,11.9,8.31,78.4,1.1,0.577,7.18816068
601188.SH,龙江交通,2019/9/30,0.22,3.35,6.6,16.1,2.98,0.0999,-0.65573771
601198.SH,东兴证券,2019/9/30,0.4,7.39,5.56,76.5,0,0.0349,20.00000002
601199.SH,江南水务,2019/9/30,0.19,3.04,6.43,40.6,1.42,0.153,1.88172044
601200.SH,上海环境,2019/9/30,0.483,6.9,7.02,55.1,0.95,0.13,0.09017129
601208.SH,东材科技,2019/9/30,0.07,3.68,1.75,23.5,1.88,0.416,3.14465407
601211.SH,国泰君安,2019/9/30,0.69,13.4,5.06,73.2,0,0.0423,5.23619808
601212.SH,白银有色,2019/9/30,0.001,1.63,0.0725,69.2,0.964,0.895,-8
601216.SH,君正集团,2019/9/30,0.23,2.19,11.1,33.8,0.508,0.243,3.98671099
601218.SH,吉鑫科技,2019/9/30,0.0354,2.49,1.42,44.2,1.6,0.228,4.79704798
601222.SH,林洋能源,2019/9/30,0.39,5.5,6.78,42.4,2.91,0.144,2.10084034
601225.SH,陕西煤业,2019/9/30,0.94,5.64,17,38.9,1.31,0.414,2.97823598
601226.SH,华电重工,2019/9/30,0.05,3.12,1.59,58.8,1.48,0.56,3.66748168
601228.SH,广州港,2019/9/30,0.119,2.12,5.74,43.6,1.04,0.289,0.78947369
601229.SH,上海银行,2019/9/30,1.15,10.8,9.78,92.1,0,0.018,1.4973262
601231.SH,环旭电子,2019/9/30,0.4,4.51,8.96,54.9,1.62,1.24,24.78909797
601233.SH,桐昆股份,2019/9/30,1.34,9.68,14.1,52.3,0.844,1.01,18.03149604
601236.SH,红塔证券,2019/9/30,0.16,3.6,4.35,67.4,0,0.0378,12.32417949
601238.SH,广汽集团,2019/9/30,0.62,7.74,8.12,34.7,1.54,0.334,-4.72697642
601258.SH,庞大集团,2019/9/30,-0.32,0.677,-38.2,84.3,0.674,0.525,20.9610604
601288.SH,农业银行,2019/9/30,0.51,4.91,10.1,92.3,0,0.02,6.64739886
601298.SH,青岛港,2019/9/30,0.46,4.55,10.4,38.1,1.82,0.177,-7.66129033
601311.SH,骆驼股份,2019/9/30,0.49,7.21,6.91,42.4,1.97,0.595,3.19031902
601318.SH,中国平安,2019/9/30,7.29,35.1,21.6,89.8,0,0.12,-1.81525735
601319.SH,中国人保,2019/9/30,0.48,4.05,12.9,79.1,0,0.388,-11.74418605
601326.SH,秦港股份,2019/9/30,0.15,2.57,6.08,40.8,1.05,0.193,2.9032258
601328.SH,交通银行,2019/9/30,0.77,9.1,8.16,92.1,0,0.0181,3.3027523
601330.SH,绿色动力,2019/9/30,0.28,2.76,10.7,73.8,0.371,0.107,-6.26102291
601333.SH,广深铁路,2019/9/30,0.123,4.14,3.01,20,1.09,0.434,-0.64935063
601336.SH,新华保险,2019/9/30,4.17,25.6,17.9,90.3,0,0.171,0.98623383
601339.SH,百隆东方,2019/9/30,0.2,5.34,3.77,44.2,1.36,0.328,3.63636365
601360.SH,三六零,2019/9/30,0.77,4.12,20,15.8,4.7,0.305,0.12776833
601366.SH,利群股份,2019/9/30,0.25,5.36,4.69,60.3,0.605,0.767,-0.53003532
601368.SH,绿城水务,2019/9/30,0.264,4.69,5.5,66,1.15,0.103,0.68965517
601369.SH,陕鼓动力,2019/9/30,0.29,3.98,7.57,62.2,1.45,0.288,-5
601375.SH,XD中原证,2019/9/30,0.08,2.58,2.91,75.7,0,0.0457,8.30994653
601377.SH,兴业证券,2019/9/30,0.26,5.14,5.24,76.3,0,0.069,13.82636656
601388.SH,怡球资源,2019/9/30,0.02,1.31,1.8,45.3,1.84,0.821,3.76344089
601390.SH,中国中铁,2019/9/30,0.613,7.39,7.69,77.3,1.06,0.58,-1.00000001
601398.SH,工商银行,2019/9/30,0.71,6.79,10.1,91.2,0,0.0223,6.32911392
601500.SH,通用股份,2019/9/30,0.114,4.18,2.98,45,1.17,0.472,4.66237941
601515.SH,东风股份,2019/9/30,0.37,3.07,12,29.9,1.91,0.39,-2.4566474
601518.SH,吉林高速,2019/9/30,0.1,2.67,3.98,40.5,1.92,0.0824,-0.7518797
601519.SH,大智慧,2019/9/30,-0.043,0.687,-6.07,30.1,4.12,0.224,-12.52771619
601555.SH,东吴证券,2019/9/30,0.31,6.91,4.53,78.4,0,0.0428,8
601566.SH,九牧王,2019/9/30,0.66,7.47,8.73,26.6,1.61,0.34,2.23413764
601567.SH,三星医疗,2019/9/30,0.58,5.62,10.5,43,1.41,0.346,4.37235543
601577.SH,长沙银行,2019/9/30,1.21,9.84,12.8,94.1,0,0.0222,5.34262486
601579.SH,会稽山,2019/9/30,0.16,6.36,2.59,27.6,2.14,0.174,-0.92592593
601588.SH,北辰实业,2019/9/30,0.39,4.28,8.09,80.2,1.77,0.105,-0.60606061
601595.SH,上海电影,2019/9/30,0.33,6.31,5.22,22.8,2.97,0.257,-23.5913639
601598.SH,中国外运,2019/9/30,0.29,3.75,8.31,51.5,1.54,0.918,0.2352941
601599.SH,浙文影业,2019/9/30,0.1,2.94,3.32,58.4,1.3,0.383,15.67944251
601600.SH,中国铝业,2019/9/30,0.038,2.89,1.53,66.3,0.775,0.714,0.56818182
601601.SH,中国太保,2019/9/30,2.53,18.8,14.3,88.3,0,0.22,8.51735014
601606.SH,长城军工,2019/9/30,0.01,3.02,0.176,37.4,2.32,0.218,-19.02294595
601607.SH,上海医药,2019/9/30,1.2,14.4,8.5,64,1.33,1.07,0.93406591
601608.SH,中信重工,2019/9/30,0.0227,1.67,1.37,63.1,1.06,0.184,-2.87206268
601611.SH,中国核建,2019/9/30,0.34,3.64,7.07,85,1.04,0.418,3.93586005
601615.SH,明阳智能,2019/9/30,0.38,4.44,9.71,77.2,1.17,0.283,-0.64620357
601616.SH,广电电气,2019/9/30,0.0381,2.64,1.45,12,5.71,0.156,-4.38871472
601618.SH,中国中冶,2019/9/30,0.19,3.39,4.53,75.1,1.15,0.509,0.35842294
601619.SH,嘉泽新能,2019/9/30,0.121,1.45,8.62,68.5,1.59,0.095,-7.72946858
601628.SH,中国人寿,2019/9/30,2.03,13.5,16.3,89.1,0,0.182,26.89228529
601633.SH,长城汽车,2019/9/30,0.32,5.81,5.53,46.4,1.43,0.594,14.93506494
601636.SH,旗滨集团,2019/9/30,0.354,2.9,12.1,40.6,0.717,0.503,52.50000001
601666.SH,平煤股份,2019/9/30,0.37,5.89,6.63,70,0.815,0.35,6.06860159
601668.SH,中国建筑,2019/9/30,0.68,5.81,11.8,76,1.29,0.512,3.4990792
601669.SH,中国电建,2019/9/30,0.363,5.47,6.62,80.4,1.05,0.304,-6.26349892
601677.SH,明泰铝业,2019/9/30,1.17,11.4,10.8,34.9,3.34,1.02,8.05998124
601678.SH,滨化股份,2019/9/30,0.22,4.05,5.58,40.4,0.742,0.432,-3.4026465
601688.SH,华泰证券,2019/9/30,0.75,13.2,5.77,75.9,0,0.0404,6.3907805
601689.SH,拓普集团,2019/9/30,0.32,6.88,4.66,32.1,1.66,0.348,47.46192902
601698.SH,中国卫通,2019/9/30,0.082,2.8,2.92,20.7,1.58,0.106,-3.24786326
601699.SH,潞安环能,2019/9/30,0.71,8.75,8.44,63.1,0.931,0.262,0.27624309
601700.SH,风范股份,2019/9/30,0.13,2.46,5.15,45.3,1.64,0.406,20.52238806
601717.SH,郑煤机,2019/9/30,0.61,7.07,8.94,54.6,1.6,0.668,4.52342489
601718.SH,际华集团,2019/9/30,0.01,4.09,0.244,43.1,2.53,0.472,-8.42696629
601727.SH,上海电气,2019/9/30,0.148,4.07,3.72,66.3,1.25,0.312,-0.79681275
601766.SH,中国中车,2019/9/30,0.29,4.62,6.45,62.3,1.2,0.402,-2.4590164
601777.SH,力帆科技,2019/9/30,-2.02,3.69,-42.9,78.4,0.511,0.264,-11.49425287
601788.SH,光大证券,2019/9/30,0.49,10.7,4.7,75.3,0,0.0411,15.62224187
601789.SH,宁波建工,2019/9/30,0.161,2.88,5.65,79.5,1.06,0.836,6.72268909
601798.SH,蓝科高新,2019/9/30,-0.0149,5.06,-0.294,45.7,1.51,0.19,-3.86996904
601799.SH,星宇股份,2019/9/30,1.92,16.8,11.8,40.8,2,0.545,23.11082307
601800.SH,中国交建,2019/9/30,0.76,11.7,6.5,75,1.03,0.369,-9.39663699
601801.SH,皖新传媒,2019/9/30,0.31,5.14,6.04,26.5,2.98,0.494,0.73529411
601808.SH,中海油服,2019/9/30,0.44,7.63,5.97,52.8,1.14,0.28,56.73469391
601811.SH,新华文轩,2019/9/30,0.61,7.08,8.68,41.5,1.55,0.415,-5.31227565
601818.SH,光大银行,2019/9/30,0.57,5.99,8.96,91.9,0,0.0221,11.92893399
601828.SH,美凯龙,2019/9/30,1.07,12.6,8.77,60.7,0.636,0.102,-0.17621146
601838.SH,成都银行,2019/9/30,1.11,9.4,12.3,93.7,0,0.018,11.42506142
601857.SH,中国石油,2019/9/30,0.204,6.7,3.06,47,0.803,0.707,-5.81583198
601858.SH,中国科传,2019/9/30,0.29,4.65,6.28,28.3,3.51,0.322,-2.23015172
601860.SH,紫金银行,2019/9/30,0.31,3.65,8.86,93.3,0,0.0182,-9.50080515
601865.SH,福莱特,2019/9/30,0.26,2.24,12.6,48.9,1.03,0.436,20.0524844
601866.SH,中远海发,2019/9/30,0.111,1.44,6.18,83.7,0.592,0.072,3.187251
601869.SH,长飞光纤,2019/9/30,0.86,11.4,7.76,35.7,1.82,0.392,0.06058771
601872.SH,招商轮船,2019/9/30,0.12,3.49,3.49,60,0.6,0.19,73.16561846
601877.SH,正泰电器,2019/9/30,1.33,10.8,12.7,55.5,1.36,0.443,22.76683464
601878.SH,浙商证券,2019/9/30,0.21,4.24,5,79.4,0,0.0641,28.67052022
601880.SH,辽港股份,2019/9/30,0.04,1.44,2.93,39.1,2.74,0.14,0.49504953
601881.SH,中国银河,2019/9/30,0.38,6.86,5.7,76.8,0,0.0434,6.61157027
601882.SH,海天精工,2019/9/30,0.0988,2.41,4.13,41.6,1.75,0.384,-12.22760291
601886.SH,江河集团,2019/9/30,0.4,7.04,5.92,66.2,1.25,0.451,-2.55033557
601888.SH,中国中免,2019/9/30,2.15,9.98,23.5,23.7,3.23,1.27,-4.41650549
601890.SH,亚星锚链,2019/9/30,0.073,3.1,2.38,22.5,6.15,0.248,-3.54131535
601898.SH,中煤能源,2019/9/30,0.43,7.36,6.07,56.9,0.733,0.348,2.03252033
601899.SH,紫金矿业,2019/9/30,0.131,1.59,7.32,59.4,0.804,0.882,40.36697246
601900.SH,南方传媒,2019/9/30,0.68,6.57,10.7,45.6,1.19,0.468,7.05202312
601901.SH,方正证券,2019/9/30,0.13,4.7,2.81,72,0,0.0343,25.83454282
601908.SH,京运通,2019/9/30,0.08,3.47,2.42,58,0.851,0.0931,-0.99009901
601918.SH,新集能源,2019/9/30,0.75,2.83,30.6,73.3,0.301,0.241,11.72413795
601919.SH,中远海控,2019/9/30,0.18,2.51,7.88,75.6,0.958,0.453,10.71428571
601928.SH,凤凰传媒,2019/9/30,0.447,5.39,8.41,38.9,1.89,0.383,-10.47058824
601929.SH,吉视传媒,2019/9/30,0.0351,2.16,1.54,49.5,0.966,0.101,-0.46728972
601933.SH,永辉超市,2019/9/30,0.16,2.14,7.72,54.2,1.03,1.5,-15.1856018
601939.SH,建设银行,2019/9/30,0.9,8.29,11,91.2,0,0.0226,3.43347639
601949.SH,中国出版,2019/9/30,0.197,3.47,5.75,42.5,2.8,0.324,-3.35877862
601952.SH,苏垦农发,2019/9/30,0.28,4.14,6.85,21.2,4.11,0.705,5.74886536
601958.SH,金钼股份,2019/9/30,0.138,4.09,3.41,11.4,4.63,0.435,6.67805406
601965.SH,中国汽研,2019/9/30,0.3,4.65,6.39,20.2,2.52,0.297,13.11475409
601966.SH,玲珑轮胎,2019/9/30,1.02,8.59,11.8,57.7,1.01,0.492,12.51226691
601968.SH,宝钢包装,2019/9/30,0.09,2.72,3.42,45.8,1.19,0.675,10.45751633
601969.SH,海南矿业,2019/9/30,0.06,1.99,2.77,41,1.1,0.389,8.630394
601975.SH,招商南油,2019/9/30,0.106,0.867,13.1,43.6,1.24,0.374,-2.76816609
601985.SH,中国核电,2019/9/30,0.237,3.09,7.71,74.3,1.12,0.102,-5.48204159
601988.SH,中国银行,2019/9/30,0.52,5.53,9.17,91.2,0,0.019,3.0726257
601989.SH,中国重工,2019/9/30,0.053,3.68,1.45,52,1.86,0.133,-4.90018149
601990.SH,南京证券,2019/9/30,0.2,3.34,6.04,67.8,0,0.0559,54.24133809
601991.SH,大唐发电,2019/9/30,0.0614,2.31,2.59,71.5,0.453,0.242,-8.58208955
601992.SH,金隅集团,2019/9/30,0.35,4.27,6.29,70.3,1.43,0.246,12.34939756
601996.SH,丰林集团,2019/9/30,0.12,2.35,4.97,27.9,3.97,0.379,-0.7017544
601997.SH,贵阳银行,2019/9/30,1.34,10.2,11.9,92.9,0,0.0205,12.33842538
601998.SH,中信银行,2019/9/30,0.81,8.91,8.98,92.5,0,0.0227,9.39716313
601999.SH,出版传媒,2019/9/30,0.18,4.04,4.55,40.7,1.57,0.543,6.04982206
603000.SH,人民网,2019/9/30,0.08,2.67,3.15,24.3,3.1,0.29,-2.02970299
603001.SH,奥康国际,2019/9/30,0.272,9.63,2.71,15.5,4.34,0.417,-6.83229813
603002.SH,宏昌电子,2019/9/30,0.07,1.84,4.02,35.8,1.99,0.647,11.22715405
603003.SH,龙宇燃油,2019/9/30,-0.074,9.28,-0.763,36.1,2.04,1.75,-7.51708428
603005.SH,晶方科技,2019/9/30,0.22,8.38,2.73,13.4,7.97,0.152,82.48378121
603006.SH,联明股份,2019/9/30,0.37,5.77,6.58,34.5,1.96,0.329,0.73260075
603007.SH,ST花王,2019/9/30,0.22,3.39,6.95,66,0.907,0.224,-2.82885431
603008.SH,喜临门,2019/9/30,0.73,6.6,11.8,55.3,1.08,0.548,24.3569132
603009.SH,北特科技,2019/9/30,0.0718,4.84,1.48,41.5,0.96,0.3,0.97560976
603010.SH,万盛股份,2019/9/30,0.4,3.52,11.8,42.1,1.5,0.672,-3.90824129
603011.SH,合锻智能,2019/9/30,0.04,3.65,0.946,29,1.99,0.221,-5.27306967
603012.SH,创力集团,2019/9/30,0.34,3.95,8.35,46.5,1.78,0.328,-40.65202928
603013.SH,亚普股份,2019/9/30,0.57,6.17,9.39,52.5,1.47,0.949,8.32157974
603015.SH,弘讯科技,2019/9/30,0.04,2.93,1.32,25.9,3.66,0.263,-8.97435897
603016.SH,新宏泰,2019/9/30,0.31,5.52,5.67,10.9,7.2,0.347,15.59507525
603017.SH,中衡设计,2019/9/30,0.481,6.53,7.43,41.1,1.4,0.373,-5.81915842
603018.SH,华设集团,2019/9/30,0.64,5.69,11.4,61.4,1.38,0.399,-11.52192606
603019.SH,中科曙光,2019/9/30,0.28,4.25,6.39,74,1.71,0.459,0.72822607
603020.SH,爱普股份,2019/9/30,0.382,6.49,6.02,10.2,7.95,0.761,7.03125001
603021.SH,山东华鹏,2019/9/30,-0.08,4.1,-1.88,54.8,0.566,0.198,10.82887701
603022.SH,新通联,2019/9/30,0.13,3.17,4.09,24,2.3,0.602,48.88888889
603023.SH,威帝股份,2019/9/30,0.05,1.48,2.99,14.2,20.1,0.118,5.47045952
603025.SH,大豪科技,2019/9/30,0.23,1.9,11.7,7.75,9.51,0.38,9.10138248
603026.SH,石大胜华,2019/9/30,1.49,8.9,17.7,30.4,1.8,1.28,-2.23338917
603027.SH,千禾味业,2019/9/30,0.298,3.18,9.69,22.7,3.48,0.478,-1.4828545
603028.SH,赛福天,2019/9/30,0.03,3.18,1.08,21.1,2.53,0.522,7.84671532
603029.SH,天鹅股份,2019/9/30,-0.02,7.63,-0.213,34.8,2.01,0.223,-0.94915256
603030.SH,全筑股份,2019/9/30,0.29,3.91,8.11,76.9,1.2,0.59,-2.20338982
603031.SH,安德利,2019/9/30,0.1,5.49,1.8,66.7,0.52,0.797,65.06849315
603032.SH,*ST德新,2019/9/30,0.05,4.27,1.25,17.6,12.4,0.0939,-9.4247246
603033.SH,三维股份,2019/9/30,0.61,9.22,8.9,32.3,1.92,0.407,2.37306843
603035.SH,常熟汽饰,2019/9/30,0.74,9.33,8.06,55.8,0.6,0.241,47.89533561
603036.SH,如通股份,2019/9/30,0.24,5.11,4.73,8.81,12.7,0.186,-9.2372881
603037.SH,凯众股份,2019/9/30,0.7,7.89,8.89,10.5,6.91,0.393,10.17441864
603038.SH,华立股份,2019/9/30,0.49,7.97,6.24,17.8,3.58,0.457,-1.22033899
603039.SH,泛微网络,2019/9/30,0.49,5.26,9.41,53.2,1.41,0.467,-7.85950541
603040.SH,新坐标,2019/9/30,1.11,9.41,12.2,8.27,8.82,0.295,19.24657534
603041.SH,美思德,2019/9/30,0.56,7.74,7.35,9,9.26,0.302,2.92188433
603042.SH,华脉科技,2019/9/30,-0.0182,5.75,-0.32,62,1.34,0.361,-13.7443439
603043.SH,广州酒家,2019/9/30,0.804,5.25,16,34.2,2,0.836,-9.61309521
603045.SH,福达合金,2019/9/30,0.368,5.83,6.46,44.2,1.7,0.777,-6.36704118
603050.SH,科林电气,2019/9/30,0.27,6.62,4.04,53.2,1.67,0.384,-5.34804758
603055.SH,台华新材,2019/9/30,0.25,3.37,7.4,40.1,1.61,0.451,-5.53250346
603056.SH,德邦股份,2019/9/30,0.12,4.05,2.82,53.7,1.15,2.22,-15.96066566
603058.SH,永吉股份,2019/9/30,0.21,2.32,9.22,6.47,9.46,0.31,4.80225989
603059.SH,倍加洁,2019/9/30,0.98,9.5,9.6,19.1,3.38,0.536,14.44805192
603060.SH,国检集团,2019/9/30,0.507,4.04,10.5,18.5,4.27,0.431,4.88120957
603063.SH,禾望电气,2019/9/30,0.13,5.78,2.28,34.6,2.74,0.313,2.97684674
603066.SH,音飞储存,2019/9/30,0.24,3.27,7.52,28.5,3.15,0.378,5.20547945
603067.SH,振华股份,2019/9/30,0.27,3.08,9.23,9,7.3,0.754,-0.16474465
603068.SH,博通集成,2019/9/30,1.33,8.48,20.4,26.2,3.7,0.733,-14.21904766
603069.SH,海汽集团,2019/9/30,0.11,3.57,3,43.7,0.856,0.404,56.8181818
603076.SH,乐惠国际,2019/9/30,0.68,11.1,6.23,56,1.48,0.324,4.91591208
603077.SH,和邦生物,2019/9/30,0.05,1.27,4.2,20.3,1.39,0.344,-4.51612903
603078.SH,江化微,2019/9/30,0.302,7.23,4.23,32.8,1.82,0.334,8.37032341
603079.SH,圣达生物,2019/9/30,0.4,7.34,5.34,39.5,2.09,0.27,11.10491069
603080.SH,新疆火炬,2019/9/30,0.23,7.69,3.13,29.8,1.62,0.209,-17.66749378
603081.SH,大丰实业,2019/9/30,0.46,4.6,9.99,49.7,2.17,0.389,12.01923077
603083.SH,剑桥科技,2019/9/30,-0.06,6.62,-0.826,60.1,1.08,0.781,12.50986581
603085.SH,天成自控,2019/9/30,0.09,3.47,2.53,60.3,0.935,0.444,-4.22535211
603086.SH,先达股份,2019/9/30,1.34,13.5,10.5,31.4,2.69,0.586,-4.03380709
603088.SH,宁波精达,2019/9/30,0.24,3.33,7.33,33.7,2.06,0.325,-5.63230607
603089.SH,正裕工业,2019/9/30,0.49,5.33,9.5,37.8,1.24,0.523,9.08396948
603090.SH,宏盛股份,2019/9/30,0.26,4.96,5.24,33.9,1.75,0.535,-4.32242987
603093.SH,南华期货,2019/9/30,0.157,4.2,3.61,82.5,0,0.604,-0.29596746
603096.SH,新经典,2019/9/30,1.48,13.9,11.1,7.57,12.5,0.342,0.14487505
603098.SH,森特股份,2019/9/30,0.4,4.18,10,45.2,1.98,0.673,-0.5385996
603099.SH,长白山,2019/9/30,0.31,4.08,7.82,20.3,2.42,0.293,4.96304118
603100.SH,川仪股份,2019/9/30,0.38,5.92,6.56,54.1,1.49,0.562,-0.89285715
603101.SH,汇嘉时代,2019/9/30,0.102,4.09,2.52,63.1,0.395,0.822,46.72131149
603103.SH,横店影视,2019/9/30,0.41,3.69,11.5,31.3,1.9,0.643,25.14970061
603105.SH,芯能科技,2019/9/30,0.09,2.91,3.09,43.7,1.12,0.111,-3.24763194
603106.SH,恒银科技,2019/9/30,-0.0679,4.02,-1.67,31.2,4.27,0.221,-9.26879506
603108.SH,润达医疗,2019/9/30,0.5,4.73,11.1,59.3,1.18,0.644,-2.3575639
603110.SH,东方材料,2019/9/30,0.28,4.45,6.34,17.3,4.51,0.389,-0.24345708
603111.SH,康尼机电,2019/9/30,0.22,1.93,11.8,60.8,1.68,0.524,2.3255814
603113.SH,金能科技,2019/9/30,0.88,8.07,11.5,22.2,2.33,0.899,1.79918369
603115.SH,海星股份,2019/9/30,0.59,6.01,9.67,17.6,4.45,0.602,-11.78983338
603116.SH,红蜻蜓,2019/9/30,0.2,5.94,3.28,22.8,3.25,0.483,-2.00860831
603117.SH,万林物流,2019/9/30,0.1,3.52,2.95,58.2,1.19,0.113,2.15053764
603118.SH,共进股份,2019/9/30,0.34,5.66,5.97,43.9,1.52,0.756,-19.02017289
603121.SH,华培动力,2019/9/30,0.36,5.03,9.21,20.5,3.17,0.434,-10.40557151
603123.SH,翠微股份,2019/9/30,0.253,6.11,4.19,39.9,1.3,0.667,18.57638888
603126.SH,中材节能,2019/9/30,0.11,2.77,4,47.8,1.59,0.439,-3.92156863
603127.SH,昭衍新药,2019/9/30,0.47,4.43,11.2,46.3,1.54,0.282,-14.74926254
603128.SH,华贸物流,2019/9/30,0.25,3.98,6.45,27.2,2.69,1.31,-9.0778098
603129.SH,春风动力,2019/9/30,1.05,7.38,14.4,56.5,1.34,1.08,27.02702703
603131.SH,上海沪工,2019/9/30,0.13,3.68,3.81,19.8,3.59,0.391,-2.71587743
603133.SH,碳元科技,2019/9/30,-0.07,4.31,-1.62,44,1.29,0.232,40.68848758
603136.SH,天目湖,2019/9/30,0.99,7.7,13.4,18.3,1.64,0.333,14.10201461
603138.SH,海量数据,2019/9/30,0.158,2.16,7.46,31.9,3.81,0.579,-1.04230528
603139.SH,康惠制药,2019/9/30,0.32,9.69,3.38,8.14,10.9,0.277,3.36134454
603156.SH,养元饮品,2019/9/30,1.64,10.9,14.8,10.3,8.82,0.348,3.64155659
603157.SH,*ST拉夏,2019/9/30,-1.51,4.86,-27,73.8,0.715,0.626,13.54581673
603158.SH,腾龙股份,2019/9/30,0.36,4.69,7.89,37.8,1.43,0.396,18.7692308
603159.SH,上海亚虹,2019/9/30,0.08,3,2.77,23.4,2.45,0.704,-20.64471879
603160.SH,汇顶科技,2019/9/30,3.82,12.5,34.8,24.9,3.39,0.722,1.42576202
603161.SH,科华控股,2019/9/30,0.55,9.58,5.78,60.7,1.04,0.354,2.10210208
603165.SH,荣晟环保,2019/9/30,1.05,7.53,13.9,22.2,8.08,0.809,-7.59148008
603166.SH,福达股份,2019/9/30,0.15,3.54,4.14,32.4,1.39,0.339,6.4631957
603167.SH,渤海轮渡,2019/9/30,0.72,7.02,10.2,32.8,1.62,0.251,19.88888891
603168.SH,莎普爱思,2019/9/30,0.12,4.71,2.61,7.78,7.87,0.245,10.29224905
603169.SH,兰石重装,2019/9/30,0.0503,1.74,2.94,81.4,0.931,0.218,-8.89235569
603177.SH,德创环保,2019/9/30,-0.05,2.57,-1.84,61.1,1.4,0.382,-4.42978322
603178.SH,圣龙股份,2019/9/30,-0.47,3.62,-12.2,62.8,0.618,0.399,3.01724136
603179.SH,新泉股份,2019/9/30,0.57,6.67,8.12,63,1.3,0.515,26.71601618
603180.SH,金牌厨柜,2019/9/30,1.99,15.5,13,47.9,0.978,0.718,4.05110628
603181.SH,皇马科技,2019/9/30,0.66,5.44,12.4,24.5,4.77,0.707,9.63244614
603183.SH,建研院,2019/9/30,0.21,4.16,5.05,24.4,2.65,0.409,0.56710775
603185.SH,上机数控,2019/9/30,0.861,9.49,9.44,34.1,2.08,0.218,-8.69565215
603186.SH,华正新材,2019/9/30,0.6,5.56,11.2,71.5,0.945,0.635,-3.14720812
603187.SH,海容冷链,2019/9/30,1.6,12.7,13.1,28.6,2.8,0.588,-6.87589162
603188.SH,亚邦股份,2019/9/30,0.0293,5.51,0.541,27.8,1.2,0.25,-15.74903969
603189.SH,网达软件,2019/9/30,0.11,3.62,3.14,14.5,5.45,0.201,1.86074428
603192.SH,汇得科技,2019/9/30,0.95,11,8.86,29.7,2.81,0.641,2.24150401
603196.SH,日播时尚,2019/9/30,-0.0032,3.83,-0.0831,23.2,3.09,0.644,20.68557919
603197.SH,保隆科技,2019/9/30,0.734,6.27,12,64.3,1.64,0.697,35.72965991
603198.SH,迎驾贡酒,2019/9/30,0.75,5.52,13.7,25.3,2.81,0.429,-8.74942741
603199.SH,九华旅游,2019/9/30,0.969,10.7,9.36,15.8,2.41,0.307,-4.48847557
603200.SH,上海洗霸,2019/9/30,0.51,7.79,6.78,21.3,3.9,0.389,-22.41935481
603203.SH,快克股份,2019/9/30,0.8,5.91,13.9,16.3,5.73,0.314,26.31098952
603208.SH,江山欧派,2019/9/30,2.22,15.2,15.4,48.8,1.58,0.568,43.2667979
603214.SH,爱婴室,2019/9/30,0.87,9.28,9.52,37.4,2.26,1.17,8.08729141
603217.SH,元利科技,2019/9/30,1.61,23.5,8.07,10.3,6.68,0.49,-5.39347407
