address,cityname,type,typecode,adname,name,location,cost,rating,comments_num
慈云寺北里209号远洋未来汇CF1-25、26,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(远洋未来汇店),"116.492557,39.915934",31.0,4.6,974.0
回龙观镇北清路1号院七号楼永旺国际购物中心1层NO100区域1层NO127,北京市,餐饮服务;冷饮店;冷饮店,50700,昌平区,喜茶(昌平永旺店),"116.289624,40.096555",28.0,4.8,1478.0
阜石路300号一层118号,北京市,餐饮服务;冷饮店;冷饮店,50700,石景山区,喜茶(喜隆多店),"116.171846,39.923157",33.0,4.8,1307.0
欣宁街15号北京荟聚中心L1层6-01-26-L1,北京市,餐饮服务;冷饮店;冷饮店,50700,大兴区,喜茶(荟聚中心店),"116.327124,39.787782",41.0,4.9,4636.0
望京阜安西路11号楼望京合生麒麟社L1-123,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京望京麒麟社店),"116.477813,39.996779",30.0,4.8,4239.0
朝阳公园路6号SOLANA蓝色港湾湖畔美食街L1 K140,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(蓝色港湾PINK店),"116.476918,39.949015",33.0,4.8,4615.0
颐和园路200号等5幢龙湖·星悦荟A馆-L1-25,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(龙湖星悦荟店),"116.291094,39.998064",16.0,4.8,1375.0
翠微街12号北京印象城一层45号,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京翠微印象城店),"116.303391,39.912595",30.0,4.7,1418.0
光华东里8号院中海广场1号楼F1-10单元铺位北门处,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京中海广场店),"116.456314,39.910979",50.0,4.6,1120.0
酒仙桥路4号北京正东动力公司综合楼一层,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(751时尚广场DP店),"116.498073,39.984413",33.0,4.8,
龙德广场1层F157号商铺(肯德基旁),北京市,餐饮服务;冷饮店;冷饮店,50700,昌平区,喜茶(北京龙德广场店),"116.415058,40.060254",20.0,4.8,2350.0
复兴路69号北京市五棵松华熙LIVE内G25号1-2层东南侧,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京五棵松华熙店),"116.277973,39.909007",29.0,4.9,5130.0
建国路91号金地中心L1楼L111-L112(ZARA旁),北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(金地广场店),"116.474850,39.909033",24.0,4.7,3032.0
曙光西里甲5号院24号楼华润置地·凤凰汇购物中心第层第(L15B、L116A)号,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京凤凰汇店),"116.457642,39.963175",31.0,4.7,3126.0
西单北大街130号君太百货2楼f-08,北京市,餐饮服务;冷饮店;冷饮店,50700,西城区,喜茶(北京君太百货DP店),"116.373360,39.909208",28.0,4.8,5724.0
"常通路1号院1号楼龙湖(北京长楹天街)A栋-1F-02,A栋-1F-C05",北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京长楹天街店),"116.597404,39.924900",28.0,4.8,3815.0
"三里屯路19号院6号楼S6-11a单元,MAC对面",北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京三里屯太古里店),"116.454670,39.935132",34.0,4.9,13253.0
远大路1号金源新燕莎mall东区一层1015K商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京金源新燕莎店),"116.288513,39.958270",31.0,4.8,2511.0
崇文门外大街18号国瑞购物中心1幢F1-27号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,东城区,喜茶(北京崇文门国瑞店),"116.419294,39.898989",30.0,4.8,6338.0
中关村大街19号新中关大厦1层L103号北门入口处,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(新中关购物中心DP店),"116.315515,39.978462",25.0,4.9,7670.0
海淀大街27号8号楼一层Z1005室商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京中关村创业大街店),"116.307437,39.982587",30.0,4.7,429.0
朝阳北路101号朝阳大悦城1层28号,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(朝阳大悦城店),"116.519135,39.924075",32.0,4.8,13178.0
